Acni_44896	BJBX01044896.1
Acni_23088	BJBX01023088.1
Acni_31066	BJBX01031066.1
Acni_13249	BJBX01013249.1
Acni_10295	BJBX01010295.1
Acni_21124	BJBX01021124.1
Acni_15656	BJBX01015656.1
Acni_2164	BJBX01002164.1
Acni_29501	BJBX01029501.1
Acni_38312	BJBX01038312.1
Acni_30540	BJBX01030540.1
Acni_19087	BJBX01019087.1
Acni_40294	BJBX01040294.1
Acni_22353	BJBX01022353.1
Acni_17939	BJBX01017939.1
Acni_38855	BJBX01038855.1
Acni_42796	BJBX01042796.1
Acni_4785	BJBX01004785.1
Acni_37654	BJBX01037654.1
Acni_26547	BJBX01026547.1
Acni_34466	BJBX01034466.1
Acni_42480	BJBX01042480.1
Acni_30888	BJBX01030888.1
Acni_32536	BJBX01032536.1
Acni_8968	BJBX01008968.1
Acni_39417	BJBX01039417.1
Acni_24013	BJBX01024013.1
Acni_6321	BJBX01006321.1
Acni_15072	BJBX01015072.1
Acni_17458	BJBX01017458.1
Acni_5429	BJBX01005429.1
Acni_17	BJBX01000017.1
Acni_22938	BJBX01022938.1
Acni_39590	BJBX01039590.1
Acni_31820	BJBX01031820.1
Acni_35330	BJBX01035330.1
Acni_4700	BJBX01004700.1
Acni_2400	BJBX01002400.1
Acni_21619	BJBX01021619.1
Acni_31027	BJBX01031027.1
Acni_13406	BJBX01013406.1
Acni_8474	BJBX01008474.1
Acni_8195	BJBX01008195.1
Acni_11714	BJBX01011714.1
Acni_38442	BJBX01038442.1
Acni_42013	BJBX01042013.1
Acni_23221	BJBX01023221.1
Acni_21555	BJBX01021555.1
Acni_32610	BJBX01032610.1
Acni_39901	BJBX01039901.1
Acni_37269	BJBX01037269.1
Acni_29197	BJBX01029197.1
Acni_30875	BJBX01030875.1
Acni_4506	BJBX01004506.1
Acni_4077	BJBX01004077.1
Acni_18215	BJBX01018215.1
Acni_17920	BJBX01017920.1
Acni_11423	BJBX01011423.1
Acni_15275	BJBX01015275.1
Acni_42884	BJBX01042884.1
Acni_4210	BJBX01004210.1
Acni_38738	BJBX01038738.1
Acni_2105	BJBX01002105.1
Acni_11221	BJBX01011221.1
Acni_16756	BJBX01016756.1
Acni_20949	BJBX01020949.1
Acni_15792	BJBX01015792.1
Acni_39833	BJBX01039833.1
Acni_26164	BJBX01026164.1
Acni_43951	BJBX01043951.1
Acni_622	BJBX01000622.1
Acni_14102	BJBX01014102.1
Acni_27900	BJBX01027900.1
Acni_40893	BJBX01040893.1
Acni_14750	BJBX01014750.1
Acni_14844	BJBX01014844.1
Acni_36263	BJBX01036263.1
Acni_12321	BJBX01012321.1
Acni_14196	BJBX01014196.1
Acni_25027	BJBX01025027.1
Acni_39067	BJBX01039067.1
Acni_38478	BJBX01038478.1
Acni_39427	BJBX01039427.1
Acni_25241	BJBX01025241.1
Acni_2577	BJBX01002577.1
Acni_31108	BJBX01031108.1
Acni_42510	BJBX01042510.1
Acni_28476	BJBX01028476.1
Acni_30359	BJBX01030359.1
Acni_30291	BJBX01030291.1
Acni_12384	BJBX01012384.1
Acni_30048	BJBX01030048.1
Acni_35761	BJBX01035761.1
Acni_20332	BJBX01020332.1
Acni_22394	BJBX01022394.1
Acni_5112	BJBX01005112.1
Acni_8901	BJBX01008901.1
Acni_43339	BJBX01043339.1
Acni_33135	BJBX01033135.1
Acni_24176	BJBX01024176.1
Acni_23489	BJBX01023489.1
Acni_31674	BJBX01031674.1
Acni_37118	BJBX01037118.1
Acni_16939	BJBX01016939.1
Acni_22924	BJBX01022924.1
Acni_14674	BJBX01014674.1
Acni_38626	BJBX01038626.1
Acni_42441	BJBX01042441.1
Acni_31321	BJBX01031321.1
Acni_18413	BJBX01018413.1
Acni_27506	BJBX01027506.1
